manifest_index,filename,image_id,breed,label,official_split,teaching_split,official_class_id,official_species_id,official_breed_id,selection_rank_sha256,jpeg_sha256,width,height
58,British_Shorthair_116.jpg,British_Shorthair_116,British_Shorthair,4,trainval,train,10,1,5,3dada15ad2d26c651e1137f33e6ba259ca96cb91a73966e7e71982bb387dca9f,d46945552a11c233b3825e0b07ad631d40fcb9f9e75b22c72edc8b7d9f2e5e21,500,500
59,British_Shorthair_16.jpg,British_Shorthair_16,British_Shorthair,4,trainval,train,10,1,5,4e043e682ec0c9bf695df430d39cedd2469dc1c1cb8b53d4372abb5705f5a38d,ab13bb9c2fcb88ff0eb6e2100bc5fbf8b7a31f4d0fd34aab3f1b1e2c335df754,375,500
60,Egyptian_Mau_101.jpg,Egyptian_Mau_101,Egyptian_Mau,5,trainval,train,12,1,6,0eed9d9cd9e45da173e5e380102bf845e1b01239dc9bafb1757b8fe5f1a520a0,afc9692ac2c1309093331317737372ee07c94a31910e1460796cabef2ddd7626,480,360
61,Egyptian_Mau_148.jpg,Egyptian_Mau_148,Egyptian_Mau,5,trainval,train,12,1,6,138080eec958723d41f24c69bbf4983996599187ac6a26ecb118529f1d8d303a,10fc44a5dad3d7cf6514ff9caa56ebf734beaa32d8c5366bac13497c1e422eda,500,332
62,Egyptian_Mau_123.jpg,Egyptian_Mau_123,Egyptian_Mau,5,trainval,train,12,1,6,165fe115bd3b7ce1fd09482ea2717ccb53df0c170a07838cf9f08041163d6d44,dcbfb51f0d475799dfb27624bdc2d0c454d8ba61e50a39fb6b597989be00e926,400,398
63,Egyptian_Mau_132.jpg,Egyptian_Mau_132,Egyptian_Mau,5,trainval,train,12,1,6,29cec4eba7a6c216162d94d71a0276abd5bd7b30e0d85e27e5b45875ec6eb790,f9ef052b46f490e430acf03a9976c1a1666bebaec786966776f839c3aaa4a26e,380,253
64,Egyptian_Mau_189.jpg,Egyptian_Mau_189,Egyptian_Mau,5,trainval,train,12,1,6,31aac2337975c08b90d2b79f515b442a866b25105893f258152b05407949a49c,41d1697aceae073685496be12df6395f1192b48b7f361f497ad523ad0ded8a04,360,410
65,Egyptian_Mau_115.jpg,Egyptian_Mau_115,Egyptian_Mau,5,trainval,train,12,1,6,40375fa6f260d6acd0b8dc12ad969397b80b5bb243c462168e89f98d9c9a83a8,cd51ca3fcc839eb19dde7a3b55a574a47ee14d961871d43d020f82de8d27b12d,386,417
66,Egyptian_Mau_13.jpg,Egyptian_Mau_13,Egyptian_Mau,5,trainval,train,12,1,6,410c8a23ba6513fc0f176676946da5c1cc242eb564fb32ad9b9ba9b24b6b4572,7cbfb5c76d926779d7655a0cd5372d80604c2ad550f0fbbd932d2400dbc93fcb,334,500
67,Egyptian_Mau_116.jpg,Egyptian_Mau_116,Egyptian_Mau,5,trainval,train,12,1,6,49a1b3d058ae156b2fec187870914e8fcdc8f39d45e0fa2ddfa4264a0e731f20,88ca32120bc3d49563b270d56558e31b106b3b1de4898a120bed26e441721290,450,354
68,Egyptian_Mau_161.jpg,Egyptian_Mau_161,Egyptian_Mau,5,trainval,train,12,1,6,4fa6c4cbdf38d08ae62c7acf9f00b96ff1dce49c6385c90fd3c6263abe50aa2b,fedcbfa4c0fff8e7b644535ad7513f687794357eac6caf0ddaa86b45b7f5f040,480,360
69,Egyptian_Mau_119.jpg,Egyptian_Mau_119,Egyptian_Mau,5,trainval,train,12,1,6,5607d6e7394b2908b931c3215a27abe80f39c9a732819edc6ded98757efb62f6,b5c13793f74dd7c27f20f4ff4ccc3d451a22e70e48d27a5bbec8d662c1d998c2,190,168
70,Egyptian_Mau_18.jpg,Egyptian_Mau_18,Egyptian_Mau,5,trainval,train,12,1,6,56100351da2e6a560880e6b847f9b8d5e2f4b9f97135db0ff15fcb9800549a4a,0b7f72c5faad460797e12eaa11b74322c503ccd57a336e2f43bfb0a834a1ad7b,500,403
71,Egyptian_Mau_142.jpg,Egyptian_Mau_142,Egyptian_Mau,5,trainval,train,12,1,6,6aad09b7352903cc03e3d0077a83eab0e98085c14e8ea1d5b17798fce871732b,162e4c5b38bf398ce6c08e064fa6b53bae857c988af2f207c88f43b8f4a4d43f,360,270
72,Abyssinian_195.jpg,Abyssinian_195,Abyssinian,0,trainval,val,1,1,1,52d140fdd65cf0842a6049e1a7f7105189ebe923b20886f3e5b2cdcc5e11fe9e,d6df6523e1de30bb12e6ef6b5330593b3642715a8492d90da629b6ee39047785,177,300
73,Abyssinian_111.jpg,Abyssinian_111,Abyssinian,0,trainval,val,1,1,1,53dc130cbd3f2b872cc4537ae4b350af330e953427cd7501e2723fbf25d85530,a163f0bae5a683e82077f2b1411af9bd5cc1a27932a08d9031f860a6ec968e9b,500,402
74,Abyssinian_100.jpg,Abyssinian_100,Abyssinian,0,trainval,val,1,1,1,586b116fafae666d3f86cde64ccfd2761e1b3da65460a9749d81c104bcb993ee,81ab214f04753ff30c460e715b54e2d11aa2b7a57c7f58c0f2a9118826cea254,394,500
75,Abyssinian_164.jpg,Abyssinian_164,Abyssinian,0,trainval,val,1,1,1,61e7b75f69cab60a179a10a359cba3155594ba8da2dff05f9362a24629e7a7d7,cb3cc7b9a2690bce685fd8e3b60da09c1d9d945e4f542a6a7767a2ff1f5000e4,500,328
76,Abyssinian_173.jpg,Abyssinian_173,Abyssinian,0,trainval,val,1,1,1,64dea9264e5734a66fa08b35aa26d99c6e226782bc261b088ab2dbd74d872854,196f6cdd4d787c35c6c31ddc1dcdbbb36c23205ede7d2b4fba60165565a29834,400,267
77,Abyssinian_136.jpg,Abyssinian_136,Abyssinian,0,trainval,val,1,1,1,68d8b98fe449b8fe7c2308e0b459914ea594fee7dd63f84f50b06f11e4181201,a750f14f02ea5d160c2b339fa5adacbf75a240c8871c40dc37a8bb01d39068be,333,500
78,Bengal_166.jpg,Bengal_166,Bengal,1,trainval,val,6,1,2,8ed277641771d881d4d04edea8612e9ee20cc895c2fad3dc7fde1ffee35a81bc,90e0a61dd0049fee00682607fbd47e04bead0047bb8440b03409820d08b56551,225,300
79,Bengal_131.jpg,Bengal_131,Bengal,1,trainval,val,6,1,2,906d8360abde5f80391f58a68697715bc01dedd5e7ae8b5eb8cf2ed44112e21a,5005ae91d4fc2c6d8c5c7c5bfdff5a7b86d993761e7a66197884017690263112,300,202
80,Bengal_17.jpg,Bengal_17,Bengal,1,trainval,val,6,1,2,91605cea824373c0606d782cb122987ae88fbbc97e8c45ba142b833b4ca6023c,e39612e3184ceea4a659c2a7b69a359f208cd4084fec1060416997b7d3d6830c,500,375
81,Bengal_185.jpg,Bengal_185,Bengal,1,trainval,val,6,1,2,be8fa62f07868a95d629a6862fdb1c043155471706f9613028cd07e2022a4bbe,82693681ab7dc89a9e74f4302cc4583d8b3dd83b493fcfe23066ec950065d99e,700,475
82,Bengal_190.jpg,Bengal_190,Bengal,1,trainval,val,6,1,2,c9ec40f11c79187fea101a86a88723d9e19153b37b05895bfe166bd9e0a9a3f8,16d005accb843a17e0bc0756a7e6eadfc395df4d835ca7493b61a3ea84f99413,668,500
83,Bengal_123.jpg,Bengal_123,Bengal,1,trainval,val,6,1,2,db5496ebca410c20e3fb15f7f2e1b8f89a7f59f8c85c3328bad0d832f6882058,8c454b9f8a1ceeb2f3a4e91b818e70b4e498912bf28372f09f5e41e467908159,500,335
84,Birman_142.jpg,Birman_142,Birman,2,trainval,val,7,1,3,74ef7d58c15c6620ceead85208011854dde2815803123f70c47c92517bbf0632,e7c39812068824a5be2a323f528775fba41dbfc0b00f5a60596cc01854b5c565,500,333
85,Birman_140.jpg,Birman_140,Birman,2,trainval,val,7,1,3,78290c20cdc91a8c59a3aa550f9b22dcd5bb257f40aa7bbdfc71416a9e023cb6,34420401523bda7dee018413287f9fac919a80aa05c943700db88655b41445f4,500,333
86,Birman_15.jpg,Birman_15,Birman,2,trainval,val,7,1,3,787291adb29f7a501e0a193c239195b471f2f91280db9c51e60bb562651863d5,1af898aac89c92f061412448ac125256a7dae09186ccc7d758b731592e36b18e,281,500
87,Birman_181.jpg,Birman_181,Birman,2,trainval,val,7,1,3,8e5ba0f8b3315230d82035ee8136f3e93e9b3e2b842a8285e54a5bbdb4963bce,1c8bbc9fde274b969578c2cae2a127ef22d1484e01b699ee488a0f9eeb01ab79,500,333
88,Birman_151.jpg,Birman_151,Birman,2,trainval,val,7,1,3,8fc239f3dfb352a9cb68d7078b6db6de7a3f278074c5ef2c8023778f427f4a0d,157215096794be6bc3fe39350a34dd6effccdde7a4fa138c4c4985884c837da7,375,500
89,Birman_171.jpg,Birman_171,Birman,2,trainval,val,7,1,3,94b7b6914a1b35638d5a548833fda456a442a9617e7b207b3a9832e713e204d1,0bda09a7d7971784f28f2c6b0b6a6fe6f261e3896b729780ba521c4979edcbe7,400,500
90,Bombay_135.jpg,Bombay_135,Bombay,3,trainval,val,8,1,4,6eab8f95357a843d3888d1836a1581a0b3e6c862c90581a91018ec145450456b,e01fde8b03ef4a6288ee5755d0454d9a59a54e3283b90c51f870e10260e2a5c0,577,384
91,Bombay_129.jpg,Bombay_129,Bombay,3,trainval,val,8,1,4,7d065f14a21b5738ab162709c9ed1129c1ecbfdeb426c23f0127df935c6003e0,7dd0944ff16ba1bfd19b899ee1b969d92ccd7edbe41a4f642f999f7691b5a782,438,590
92,Bombay_164.jpg,Bombay_164,Bombay,3,trainval,val,8,1,4,8ab14f6d863284ea1b2719490cd3acfb2cf0c2752fa1332de223c2625caee7c1,526eca325273902592a97e06f6ff7056b0911234d710616def631cfc70767496,297,300
93,Bombay_173.jpg,Bombay_173,Bombay,3,trainval,val,8,1,4,bc0ce6b682fdcc1dd4f0703c1e101a1a8b4c10ad002693364528ba20266c4916,5220a315411a825496776c2639c478da4ade1368ea52cbb2929ee4b42f048849,334,500
94,Bombay_155.jpg,Bombay_155,Bombay,3,trainval,val,8,1,4,bc6b4d0a4b4a4ac41c593e6c39aab447ecb9b4b8906c92857151082f369425cf,8bdd30cdbc168c8bf25ae58de2901be85c235f6d2824e35f129e634f6da4dcfb,300,200
95,Bombay_150.jpg,Bombay_150,Bombay,3,trainval,val,8,1,4,bf14433f987f8a32dd2d6207b96eca543cf414147f4e6dedf4606a517116232b,73de3bde43d6474a486a802e0a6836b09b23180f053942f213f5550e306dc225,200,182
96,British_Shorthair_187.jpg,British_Shorthair_187,British_Shorthair,4,trainval,val,10,1,5,4eac0a03796877b35ca92b517973d07d751db61a2e2c9ac4e191a814a92c2d1b,62ede0eef5e0cc0ffb3a2c6c9ef0340bfe32f2a48af8331e937f3a052816145f,332,500
97,British_Shorthair_184.jpg,British_Shorthair_184,British_Shorthair,4,trainval,val,10,1,5,60758c2a75704fe9de4a1db0241116ff25f40d53bb90dd104b7766e48f5c8dd2,057cb4b63d6a5ee825214c6e339f3135a66be1b17e191a1e2c23c0a6b8bd2505,500,416
98,British_Shorthair_117.jpg,British_Shorthair_117,British_Shorthair,4,trainval,val,10,1,5,6ca711f05c2e5aec6de5b704ce4753fe1d551a53b139dafd0f753466ebdcbd83,acc88898e49872b2ff8a2e7f49ff2e4d9d0810cac0e0fed85cde94a0c02016b5,500,375
99,British_Shorthair_108.jpg,British_Shorthair_108,British_Shorthair,4,trainval,val,10,1,5,78657bea3cac700b798331e72f943a6a2f3f91fabadadcf474fce797751c4739,5e45f2e833d571f4bd4c73d34ad7808efd0a9b3eb8582afc300b6c7b240be85b,333,500
100,British_Shorthair_157.jpg,British_Shorthair_157,British_Shorthair,4,trainval,val,10,1,5,9103db10f6ab28531b6f37a2a8b2f8f32238a6305b4b2db2119a6efb1d3b8d62,b9ac9884e4dbaac10fb46c298d6117bba12577adfad6e12d8288cf22559c99f7,375,500
101,British_Shorthair_181.jpg,British_Shorthair_181,British_Shorthair,4,trainval,val,10,1,5,9241578ba3290c8ff49f8d3798e2d46decb6479a2f3755c5ccf32fd7c8d2cbe0,6b00e31f27520561f804b3c4234e65150a7bdbb819684d4d025c326513a69a86,333,500
102,Egyptian_Mau_112.jpg,Egyptian_Mau_112,Egyptian_Mau,5,trainval,val,12,1,6,783bf6cb76b6a0351adb536128f0caa22df09df77048272dfb8c22280fef3af9,109b51c6f3f23eeb9a8d54ea6209d48344d5136187e9d8c5069c6a8eb13a86df,500,375
103,Egyptian_Mau_105.jpg,Egyptian_Mau_105,Egyptian_Mau,5,trainval,val,12,1,6,7bf2138bcacf6dc25a77ece88c9923a50ee7476b038c8f668413b2d804984807,72af56f448783f4458f3b47503428d9b7254cbe8580cbd2195e33b57d3b73d80,450,427
